ID|ISBN|Price|Title|Teaser|Auth_1|Auth_2|Auth_3|Review|Reviewer|Issue_date|Issue|Record_type|Sub_headline|Headline|Publisher|Pub_date|Categories|SubCategories|Metadata|Image|Field21
1121|\N|\N|REDISCOVERING CIVIL WAR CLASSICS:<br> Lincoln Under Enemy Fire|\N|Madden, David|\N|\N|"<h3>Lincoln Under Enemy Fire</h3><br><p><i>Lincoln Under Enemy Fire</i> (1948) by John H. Cramer</p><p>Before he came under the direct, surprise enemy fire of the failed actor John Wilkes Booth while watching the comedy Our American Cousin in Ford's Theater on the evening of April 14, 1865, the Great Emancipator knowingly exposed himself to enemy sharpshooters nine months earlier on the afternoon of July 12, 1864, so that he could witness the national drama of our Civil War at Fort Stevens on the outskirts of Washington, D.C., during Confederate General Jubal Early's daring, desperate assault on the Capitol. </p><p>The most popular account of the commander-in-chief under enemy fire at Fort Stevens is the one that involves The Yankee from Olympus, Justice Oliver Wendell Holmes. Colonel Holmes was assigned the duty of showing the President the defenses around Washington. When the six-foot-four Lincoln, his height increased by his tall plug hat, exposed himself and bullets began to fly, Colonel Holmes yelled, Get down, you fool! Later, in the act of leaving, Lincoln walked back to say, Good-bye Colonel Holmes. I'm glad you know how to talk to a civilian.</p><p>Lincoln biographers and Civil War historians do not make much of this incident, when they mention it at all. John H. Cramer made very much of it, indeed, in his 1948 book <i>Lincoln Under Fire: The Complete Account of His Experiences During Early's Attack on Washington</i>  And complete it is, being Cramer's gathering of many testimonials in letters, journals, and memoirs, published and unpublished up to 1948. </p><p>All recorded witnesses agree that Lincoln was there, along with his wife, the Secretary of the Navy, Gideon Welles, and a somewhat foolhardy crowd of Washingtonians and that he was either fired upon as a tall, exposed figure in a stove hat or that the actual target was the military doctor who stood beside him and who fell wounded.</p><p>The witnesses, who include soldiers, officers, and members of Lincoln's high-placed entourage, among others, differ among themselves only on relatively minor details. Historians seem to mistrust not only Holmes's account but also that of one or two less famous witnesses. Lucius E. Chittenden, register of the treasury, recalled that a young colonel of artillery was severely worried that the President had ignored his declarations of concern for his safety. He finally got up enough courage to say, Mr. President, you are standing within range of five hundred rebel rifles. Please come down to a safer place. If you do not, it will be my duty to call a file of men and make you.  The President responded: And you would be quite right, my boy! . . . You are in command of this fort. I should be the last man to set an example of disobedience (51). Elizabeth Thomas, an elderly African American, looked out the window of her basement nearby and saw Lincoln standing tall on the bank of the trenches and yelled to men near him, My God, make that fool get off that hill and come in here! She remembered later that the President only smiled (57).</p>    <p>Those images of President Abraham Lincoln exposing himself to enemy fire, told to cease and desist for his own good and thus for the good of the country, are the stuff of folklore, and sure enough B. A. Botkin quotes not Holmes but Chittenden, devoting also many pages to other Lincoln lore in his book <i>A Civil War Treasury of Tales, Legends, and Folklore</i> (1960). And it was a newsworthy event, though not nearly an item of importance commensurate with its effect on the outcome of the war, given the severe consequences had sharpshooters hit their target in the theater of war before Booth's aim was true in the theater of pretense. That consideration ought to have been enough to move more historians to make much of it. </p><p>One witness observed that never before had a president, the commander-in-chief, exposed himself to enemy fire. But several incidents do somewhat parallel that of Lincoln. General Lee exposed himself at Seminary Ridge just before Pickett's charge at Gettysburg. From three thousand lips at once burst the cry, <i>General Lee to the rear' </i>-- and not a foot would stir until he was led back through a gap in the line. General Stonewall Jackson, riding recon at twilight with a few officers May 2, 1863, in a confused wilderness setting at Chancellorsville, was wounded by his own men, and died a few days later.  General Nathan Bedford Forrest, The Wizard of the Saddle, leading his Critter Company against Sherman's cavalry on the road to Corinth a few days after the battle of Shiloh in July 1862, charged ahead of his men, Union soldiers surrounded him, hundreds of rifles fired upon him, one shot got him in the hip, another hit his horse, but he shot his way back to his own men. The iconic image of reckless exposure to enemy fire is Winslow Homer's famous painting of a Confederate private Inviting a Shot Before Petersburg, Virginia, 1864, daring the Union Troops to shoot him. </p><p>Given David Donald's importance as a major Lincoln biographer, his 1948 review of Cramer's book is a good argument for rediscovering this Roshamon study of a so-called minor event. With astonishing thoroughness Mr. Cramer has tracked down about twenty-five firsthand versions (and some fifteen secondary interpretations of those accounts) of what actually happened to Lincoln at Fort Stevens. The tales are confused and diverse?. <i>Lincoln under Enemy Fire</i> deals with what its author modestly terms an interesting but unimportant\ episode of the President's career. But if it is no major revelation of Lincoln, it tells much about Lincoln biographers, their sources, and their methods. This little book is, in fact, a case study in historical evidence, and Mr. Cramer handles his material with an honesty and a lack of pretentiousness that any scholar might envy.</p><p>Having satisfied his fervent desire to gather all the facts as conveyed by eyewitnesses, Cramer apparently was not moved to delineate some of the implications of that extraordinary event. Nor have historians, having read Cramer's research, been so moved.</p><p>Consider first that this is a supreme example of faulty human perception, the theme that inspired Ambrose Bierce's short stories <i>In the Midst of Life </i>(1891). The vision of men and women under fire that day had to be affected by fearsome excitement, raising questions such as: </p><p>Who fired upon the exposed figure, sharpshooters or line soldiers?</p><p>Who did they think they saw, the enemy President or a tall, more-foolish-than-most civilian among the crowd of spectators?</p><p>Did a sharpshooter recognize him as the President of the United States of America and spare him out of a transcendent sort of respect and admiration or even fear?If a sharpshooter recognized him as President Lincoln, did he correct his vision on the assumption that the president would never conduct himself in such a foolhardy way?</p><p>Were they shooting at the tall man in civilian clothes or at the man in uniform standing by him?</p><p>Did Lincoln realize how exposed he stood?</p><p>What was Lincoln's mood that day?</p><p>Was there something in his mind that led him consciously or unconsciously to expose himself and the fate of the nation to enemy fire?</p><p>Was he trying to prove his courage to his wife, to military and civilian folks under his command as commander-in-chief?</p>	<p>Would we do well to subject each episode of the war to this sort of imaginative interrogation? For example, to learn what happened in the attack upon the crater at Petersburg we go to the historian of the hour, the one we expect to trust as the authority who has reviewed past research recorded in books by previous historians with, we hope, the addition of newly revealed information. But if we read six or so accounts by six historians we may very well feel, as Cramer did when he examined eyewitness testimonials, that we are reading about six different battles (I have done that exercise myself). We would do well, I think, to imagine the possible implications?a role well suited to readers who do not feel the restraints historians perhaps need to feel. </p><p>As we stand at the window in view of the Sesquicentennial of the Civil War, I propose that as we consult the 128 volumes of the <i>War of the Rebellion: A Compilation of the Official Records of the Union and Confederate Armies</i> and other eyewitness documents and the work of historians derived from them, we let this striking Lincoln example serve as a metaphor for the general unreliability or at least incompleteness of statements held up as factual and as an invitation to allow our emotions, imaginations, and intellects to come fully into play.</p><p><i>Founding Director of the United States Civil War Center and creator of</i> Civil War Book Review<i>, David Madden is Robert Penn Warren Professor of English at Louisiana State University. He serves on the Advisory Committee of the Abraham Lincoln Bicentennial Commission and is the Governor's liaison to the Commission. Among his 50 books are seven on the Civil War, including a novel </i>Sharpshooter. Touching the Web of Southern Novelists<i>, a collection of essays, is his latest book.	</i></p>"""|\N|Summer 2007|8/1/2007|Classics|\N|\N|\N|\N|Front_Center;Military;Politics|\N|\N|"<img hspace=6 align=LEFT width=161 height=225 alt=\Product Cover\"" border=0 src=\""/civilwarbookreview/images/jackets/LincolnUnderEnemyFire.jpg\"">"""|\N
1123|\N|\N|EDITORIAL:<br>How Historians Remember the Civil War|\N|Childers, Christopher|\N|\N|<b>How Historians Remember the Civil War </b><p><br>Many people tend to view Civil War commemoration as an almost strictly public act where individuals, civic organizations, veterans groups, heritage societies, and others participate in celebrations and ceremonies to remember the over 600,000 Union and Confederate soldiers who lost their lives fighting one another on American soil.  While statues, flags, and monuments stand as public markers of history and identity, historians and students of the Civil War have amassed a monumental corpus of printed material written to tell the history of the Civil War.  Indeed, the writing of history serves as yet another form of commemoration.  And like the more familiar public displays and ceremonies mentioned above, written histories generate controversy.  The reviewers who contribute to <i>Civil War Book Review</i> participate in the process of debating just how to faithfully and correctly remember, record, preserve, and?perhaps even?commemorate, the story of America's Civil War.</p><p>Robert J. Cook revisits the tumultuous American Civil War centennial and recounts how competing notions of race, memory, heritage, and commemoration intersected and clashed in the early 1960s as the United States Civil War Centennial Commission sought to plan the centennial activities.  Cook's book, <i>Troubled Commemoration: The American Civil War Centennial, 1961-1965</i> serves as a timely reminder that as we approach the sesquicentennial of the Civil War in 2011-2015, the nation will no doubt wrestle with these issues once more.</p><p>Of course, the writing of Civil War history proceeds at its usual brisk pace.  In this issue of <i>CWBR</i>, readers will find a full complement of the diverse studies offered by students of the war.  Several recent works have focused closely on the beliefs and experiences of Civil War soldiers.  In <i>The View from the Ground: Experiences of Civil War Soldiers</i>, editor Aaron Sheehan-Dean presents a wide complement of essays that analyze aspects of soldier life and labor from both the Union and Confederate perspective.  More specifically, Chandra Manning's <i>What This Cruel War Was Over: Soldiers, Slavery, and the Civil War</i> argues forcefully that soldiers saw the war as a fight over slavery.  Randall M. Miller reviews this important new work in this issue.  Additionally, the <i>CWBR</i> Author Interview features Professor Manning discussing her new book.</p><p>Community studies remain an important component of Civil War studies.  Over twenty years ago, Suzanne Lebsock wrote her study of the women of Petersburg, Virginia, and how they lived before and during the Civil War.  A. Wilson Greene adds another layer to the Petersburg story with his <i>Civil War Petersburg: Confederate City in the Crucible of War</i> by analyzing the strategic importance of the city as well as its internal dynamics. Wayne Wei-siang Hsieh reviews this book.  And as Gordon B. McKinney points out in his review of <i>Lincolnites and Rebels: A Divided Town in the American Civil War</i>, historian Robert Tracy McKenzie has fundamentally altered the traditional interpretation of the sharply divided Knoxville, Tennessee by chronicling a civil war within the Civil War.</p><p>With the bicentennial of Abraham Lincoln's birth approaching, scholarly interest in Lincoln's life and political career?which has never suffered for attention?is gaining added momentum.  David Madden rediscovers <i>Lincoln Under Enemy Fire</i>, a classic account of the commander-in-chief's April 1864 visit to Fort Stevens during Confederate General Jubal Early's attack on Washington, D.C.  </p><p>Leah Wood Jewett's latest column captures the essence of planter John Elder's diary during the Battle of Baton Rouge.  Faced with the chaos of warfare at home, Elder's records the everyday way of life while under fire in his usually terse entries, which leave the reader wondering how and why Mr. Elder remained so calm and matter-of-fact on paper?and if his composure held strictly on paper.</p><p>Enjoy studying?and commemorating?the Civil War.</p>|\N|Summer 2007|8/1/2007|Editorial|\N|\N|\N|\N|Front_Center|\N|\N|"<img hspace=6 align=LEFT width=161 height=61 alt=\Product Cover\"" border=0 src=\""/civilwarbookreview/images/jackets/cwbrdefault.jpg\"">"""|\N
1389|806130814|\N|William Clarke Quantrill: His Life and Times|William Clarke Quantrill: His Life and Times|Castel, Albert|\N|\N|"The Quantrill legend is rooted in acts of savage violence throughout Kansas and Missouri during the Civil War -- deeds both romanticized and vilified. Castel traces Quantrill's rise to power, from Kansas border ruffian and Confederate Army captain to lawless leader of \the most formidable band of revolver fighters the West ever knew.\"""""|\N|Fall 1999|9/1/1999|Annotation|\N|\N|University of Oklahoma Press|0000-00-00|Biographies;Front_Center|BioGeneral, FCGeneral|\N|\N|\N
1414|806131934|\N|Bold Dragoon: The Life of J.E.B. Stuart|Bold Dragoon: The Life of J.E.B. Stuart|Thomas, Emory M.|\N|\N|"\The first of several biographies on Jeb Stuart based on exhaustive research and the extensive use of primary sources. Thomas has resurrected Stuart more vividly than any previous writer. <B>Bold Dragoon</B> is now the basic reference for the Confederacy's most famous cavalry chief.\"" -- <B>James I. Robertson, Jr.</B><p>Named a \""Civil War 100\"" classic book by <I>Civil War</I> magazine"""|\N|Fall 1999|9/1/1999|Annotation|\N|\N|University of Oklahoma Press|0000-00-00|Biographies;Front_Center|BioGeneral, FCGeneral|\N|\N|\N
1418|807123722|\N|A Texas Cavalry Officer's Civil War: The Diary and Letters of James C. Bates|Texas Cavalry Officer's Civil War: The Diary and Letters of James C. Bates A|Lowe, Richard|\N|\N|Publication of James C. Bates's letters and diary treats scholars to a documentary treasure trove and all readers to a fresh, first-person dose of American history. Edited by Richard Lowe, <B>A Texas Cavalry Officer's Civil War: The Diary and Letters of James C. Bates</B>  contains chilling accounts of combat and a running narrative of life in camp and on campaign.<p>|\N|Fall 1999|9/1/1999|Annotation|\N|\N|Louisiana State University Press|0000-00-00|Biographies|BioGeneral|\N|\N|\N
1420|813121086|\N|For Honor, Glory & Union: The Mexican and Civil War Letters of Brig. Gen. William Haines Lytle|For Honor, Glory & Union: The Mexican and Civil War Letters of Brig. Gen. William Haines Lytle|Carter, Ruth C.|\N|\N|"Well-born into a Cincinnati family, \poet-general\"" Will Lytle was a Democrat sympathetic to states' rights but also a steadfast Unionist. These letters elegantly record his wartime service, from the Mexican War to his battlefield death at Chickamauga."""|\N|Fall 1999|9/1/1999|Annotation|\N|\N|University Press of Kentucky|0000-00-00|Biographies|BioGeneral|\N|\N|\N
1422|195120620|\N|Jefferson Davis's Generals|Jefferson Davis's Generals|Boritt, Gabor S.|\N|\N|"The eight essays included in <B>Jefferson Davis's Generals</B> stem from papers written by various authors and presented to the editor's Civil War Institute at Gettysburg. Five of the papers discuss relations between commander in chief Davis and some of his full generals: J.E. Johnston, R.E. Lee, Beauregard, Bragg, and Hood; one deals with the wives of all these except Hood; another concerns pictures of Davis in the Northern press; and the last addresses broad questions of strategy and history. Although each essay is followed by endnotes and a bibliographic essay, there is no index for the collection.<p>Craig L. Symonds's essay treats coolly the hot topic of his subtitle's double entendre: \Davis and Johnston at War.\"" The two men, so much alike, clashed repeatedly until Davis finally wrote out for Congress, but never sent, his explanation of why he could not again give Johnston charge of an army. In a balanced, careful assessment, Symonds awards the palm for valor in this \""war\"" to Davis, but perhaps overstates the case in calling this \""dysfunctional partnership\"" a major cause of defeat.<p>In Emory M. Thomas's paper, Thomas states that the Confederate president, and historians after him, \""believed that Lee and Davis were in strategic accord when, in fact, they were not.\"" Davis wanted defense while Lee wanted \""climactic battle.\"" Conceding that \""Lee never spoke or wrote his heresy,\"" Thomas seeks proof in Lee's two invasions of the North. But he fails to note that Davis approved both campaigns, and that it was Beauregard, not Davis, who refused to supply the diversion Lee wanted in 1863 (and for good reasons: insufficient troops and an impending attack on Charleston).<p>T. Michl Parrish's contribution to <B>Jefferson Davis's Generals</B> points out that Beauregard thought up grand strategies that President Davis never adopted -- one cause of the friction between the two men. Parrish treats their \""animus\"" evenhandedly, pointing out that Davis put the general in the right niche at Charleston and that the two were able to smother their feelings for the good of the Cause they both loved. Parrish's crystal clear style helps to make this essay a gem.<p>Steven E. Woodworth's essay blames Davis for, of all things, not supporting Braxton Bragg -- failing to provide \""a sound command system along with good officers.\"" Whether or not this makes Davis liable for Bragg's failures, we at least learn that the two were not special friends. Some assertions in this essay seem dubious, but reading that Bragg was a good general with \""genuine talent\"" whose subordinates did indeed sometimes fail him is a refreshing change.<p>Herman Hattaway's paper expertly discusses many aspects of John Bell Hood's rise to a top command and his friendship of mutual admiration with Davis. Mostly Hattaway is right on target, showing that Hood deserved promotions for his battlefield performance but did not know how to manage an entire army. Hattaway dismisses the idea that Hood was a \""spy\"" for Davis. The essay seems to accept, however, the widespread but erroneous notion that Davis approved Hood's fatal move to Nashville.<p>In a happy shift of gaze to women, <B>Jefferson Davis's Generals</B> presents an essay by Lesley J. Gordon. Gordon shows Varina Davis, Lydia Johnston, and Elise Bragg with devoted husbands, in contrast to Caroline Beauregard, whose husband neglected her. Greater acquaintance with the Lees' circumstances might have sweetened the author's view of Robert and Mary. The other portraits in Gordon's contribution, except for a few errors, are well done and true to life.<p>Harold Holzer's piece uses illustrations to trace the printed image of Davis in the Northern press, from military president to traitor to buffoon, and then later -- in an \""iconographic miracle\"" -- to restored hero. Davis never wore the Confederate uniform that some prints put on him, Holzer says, but he was always \""the living symbol\"" of the Confederacy and the Lost Cause.<p>James M. McPherson's work gives a brilliant analysis of strategy, puts the War in the broad context of history, and then takes up particular points, even clearing muddy ones presented in the book's other essays. In the face of Southern soul-searching, he ends on a novel note: maybe the Yankee army had something to do with the Confederate defeat.<p>With its varied topics, viewpoints, and styles, this collection of essays will interest scholar and non-scholar alike.<p><I>Felicity Allen lives in Auburn, Alabama. The University of Missouri Press is publishing her biography of Jefferson Davis entitled</I> Jefferson Davis, Unconquerable Heart."""|Allen, Felicity|Fall 1999|9/1/1999|Review|Davis as husband, foe, leader, and symbol|Scrutinizing the president|Oxford University Press|0000-00-00|Biographies|\N|\N|\N|\N
1423|873386280|\N|Forgotten Valor: The Memoirs, Journals, & Civil War Letters of Orlando B. Willcox|Forgotten Valor: The Memoirs, Journals, & Civil War Letters of Orlando B. Willcox|Scott, Robert Garth|\N|\N|"While Robert Garth Scott's claim that this is \the largest collection of Civil War papers to surface in half a century\"" may be true, what is certain is that <B>Forgotten Valor</B> is one of the most complete, candid, and compelling memoirs to cover the professional military career of an unsung but stalwart war hero. Orlando Boliver Willcox (1823-1907) served for 44 years in the U.S. Army, most notably as a brevet major general during the Civil War.<p>This massive collection of previously unpublished papers chronicles the military life of an officer who kept meticulous journals, diaries, letters, and copies of his official reports throughout his career. Scott has gathered these sources and produced a stunningly refreshing memoir of an articulate and perceptive man whose writings reveal his military skills, leadership ability, insight, and rather direct sense of humor.<p>After graduating from West Point in 1843, Willcox served in Mexico with Winfield Scott, chased the Plains Indians in Kansas, and pursued the Seminoles in Florida. Army life in those years was dangerous, lonely, and frustrating, with Willcox observing that \""good liquor and good morals are equally scarce.\"" Although this memoir covers nearly five decades of army service, most of the work is related to Willcox's Civil War years. In 1861, at the outbreak of the War, this Detroit native was appointed colonel of the 1st Michigan Volunteer Infantry Regiment. He fought at Manassas, in \""one of the best planned but worst fought battles of the Civil War.\"" Willcox was captured there and later received the Medal of Honor for his bravery on that battlefield.<p>Quickly recognized as a courageous and capable leader, Willcox was rapidly promoted upon his release from a Confederate prison, serving as either a division commander or as commanding general of the Union army's IX Corps for the rest of the War. He and his soldiers fought gallantly at South Mountain, Antietam, Fredericksburg, the Wilderness, Cold Harbor, and Petersburg. While on temporary duty, Willcox also pursued the raider John Hunt Moran in Indiana and fought rebel guerrillas in eastern Tennessee.<p>His descriptions of army life on campaign, in camp, and in battles are vivid and frank. Even a major general complains about slow mail service, infrequent paycalls, and meddling politicians. Willcox is especially wary of \""the heroes of the quill,\"" those moralists, journalists, and critics who have never smelled gunpowder or been acquainted with rebel artillery.<p>His remembrances of fellow officers are honest and unvarnished, and particularly interesting are his comments about General Ulysses S. Grant. Willcox is also no stranger to controversy and his thoughts on personal and professional difficulties are bracing and fresh. His sense of humor is best revealed in his \""treatise on modern war,\"" which is a skewering spoof of military bureaucracy, red-tape, and single-mindedness.<p>Lengthy, detailed, and heavily footnoted for reference and clarity, <B>Forgotten Valor</B> offers a well-crafted look at an intrepid warrior who devoted his life to the army and his heart to his troops.<p><I>William D. Bushnell is a freelance writer, reviewer, and instructor at the University of Southern Maine.  He lives on an island on the Maine coast.</I>"""|Bushnell, William D.|Fall 1999|9/1/1999|Review|Rediscovering the career and prose of Orlando B. Willcox|Stalwart war hero|Kent State University Press|0000-00-00|Biographies|\N|\N|\N|\N
1424|761516808|\N|Robert E. Lee on Leadership: Executive Lessons in Character, Courage, and Vision|\N|Crocker III, H.W.|\N|\N|"To reconstruct the past, through discipline and discrimination, is satisfying to the historian, and possibly useful to those who read him. To make explicit its lessons, somehow to make them useful and instructive, and possibly influential, is more difficult, and perhaps more dangerous.<p>Harry Crocker's book is subtitled <I>Executive Lessons in Character, Courage, and Vision.</I> Early on, it states its purpose as \a book for businessmen -- the vocation that most Americans are called to perform -- seeking guidance on how to lead a business, employees, subordinates. But it is also a book for the whole man.\"" In other words, <B>Lee on Leadership</B> aims to identify what it was in this \""most perfect man\"" that made him successful as a leader. Can we learn and apply such lessons?<p>Matthew Arnold called Marcus Aurelius the most perfect man in history. In our own time, among men of affairs, we say that George Marshall was a perfect embodiment of devoted public service. But all such men, near-demigods to some, succeed less by what they do than by what they are; and history is embarrassed when it tries to communicate that \""are\"" -- their character.<p>Nonetheless, Crocker identifies a number of qualities in Lee that would seem useful to all who would lead. His method is chronological: a series of chapters that follow Lee from adolescence to early old age, that cross familiar ground, but in new ways, and in ways that remind us that nobility of character, self-discipline, and forbearance, unaccompanied by a practiced ability to get things done, is not very useful in war.<p>Each chapter ends with the lessons enumerated, such as \""A leader remembers that the goal of leadership is not self-fulfillment but service to his fellow men.\""<p>And the leader, if he emulates Lee (emulation plays but a small role in any scheme of education in the America of 1999), will lose himself in the work, will be \""careless\"" of self and nobly humble, eschewing self-advertising.<p>This strange, hybrid book -- part historical, part biographical, and part handbook -- is beautiful in its concision and austerity. The author wears his philosophy and his knowledge of Lee, and of the theaters in which Lee worked, easily.<p>The tone is elegiac, as if Crocker understands, as most of us do, that it is impossible that such a man should appear again -- and that the qualities and techniques of leadership that infused his character can but serve as reminders and guides to the frailer clay that now presumes to lead -- to lead <I>anything</I> -- in our country.<p><I>Josiah Bunting III serves as superintendent and professor of the humanities at Virginia Military Institute.</I>"""|Bunting III, Josiah|Fall 1999|9/1/1999|Review|What General Robert E. Lee can still teach us|A most perfect man'|Prima|0000-00-00|Biographies|\N|\N|"<img hspace=6 align=LEFT width=161 height=247 alt=\Product Cover\"" border=0 src=\""/civilwarbookreview/images/jackets/CrockerLeeonLeadership.jpg\"">"""|\N
1425|811708861|\N|Joshua Chamberlain: A Hero's Life & Legacy|Joshua Chamberlain: A Hero's Life & Legacy|Pullen, John J.|\N|\N|"In an era in which the very idea of heroism is mocked, the anti-hero is celebrated, and military virtues in particular are far from popular, it is refreshing to encounter a book that, like an unflawed mirror, reflects the career of a man who both as a soldier and a citizen justly deserves the title of hero.<p>Not that John J. Pullen's portrait is lacking in objectivity or is in any way approaching hagiography, for he is most careful in distinguishing between facts and the nimbus of mythology, which lately by fiction and film has enhanced the image of Joshua Chamberlain. No. The author points out that the mythic element rests on a firm foundation of fact that has been a catalyst to the mythic aura and that mythology itself is not to be despised as a motivator of noble behavior.<p>The bayonet charge at Little Roundtop at Gettysburg, which was so crucial in that battle, was not the only act of heroism in Chamberlain's life, as Pullen amply demonstrates. Yet in a sense it defined his character, initiated his fame, and echoed in the background of a long life with many trials. The primary focus of the book is upon Chamberlain's career after the Civil War -- and that was, at least in its early stages, a political career.<p>Pullen shows why Chamberlain was not cut out to be a successful politician. He was a man of principle, uncompromising in his values, and therefore it is not surprising that he made enemies. When faced with a choice -- between the general good and humane behavior, or party loyalty and political expediency that might further his own self-interest -- he always chose the noble path.<p>He was four times elected governor of Maine as a Republican, but as Pullen calls him, a \reluctant Republican.\"" The Republican Party leader, James G. Blaine, and the Radical Republicans in control of Congress in the Reconstruction years wished to reduce the Southern states to the status of territories. Chamberlain declined to follow the party line. At Appomattox he had gallantly offered an arms salute of his men to the surrendering Confederate officers. He opposed legislation that would, in effect, bar responsible white Southerners from any public post of leadership, and he opposed the unconstitutional infringements on President Andrew Johnson's powers. He resisted the extreme Prohibitionists in his party and enforced a court verdict of capital punishment for a cruel and brutal double murder by a black man. The result of taking these unpopular stands was political eclipse.<p>But his career of service to the people of Maine was not over. He initiated forward-looking reforms in education as president of Bowdoin College, saved Maine from threatened civil war over an election controversy as adjutant general, and faithfully carried out his duties in the humble office of surveyor of customs in Portland in his declining years. Despite decades of obscurity immediately following his death in 1914, of late his fame has revived through books and film and wide public recognition. Pullen's book is a worthy tribute to Chamberlain's lasting legacy.<p><I>Charles F. Herberger, professor emeritus of Nasson College, is editor of</I> A Yankee at Arms: The Diary of Lieutenant Augustus D. Ayling, 29th Massachusetts Volunteers <I>and author of books and articles on historical topics.</I>"""|Herberger, Charles F.|Fall 1999|9/1/1999|Review|Joshua Chamberlain earned his mythic aura|A long life with many trials'|Stackpole|0000-00-00|Biographies|\N|\N|\N|\N
